iter	Passed	Remaining
0	17	5269
1	30	4492
2	42	4168
3	53	3954
4	64	3777
5	74	3656
6	85	3586
7	96	3531
8	107	3478
9	118	3440
10	129	3395
11	140	3367
12	151	3339
13	162	3316
14	173	3293
15	184	3270
16	196	3262
17	208	3258
18	220	3267
19	233	3267
20	244	3254
21	256	3236
22	268	3231
23	280	3227
24	291	3211
25	304	3210
26	317	3214
27	330	3208
28	342	3204
29	356	3205
30	369	3203
31	382	3204
32	396	3205
33	411	3218
34	428	3242
35	488	3579
36	542	3857
37	587	4048
38	624	4178
39	643	4180
40	660	4171
41	677	4162
42	708	4231
43	726	4228
44	743	4214
45	756	4178
46	769	4142
47	781	4104
48	793	4065
49	805	4027
50	817	3990
51	829	3955
52	841	3921
53	853	3887
54	864	3852
55	876	3819
56	888	3786
57	900	3755
58	913	3729
59	925	3702
60	940	3683
61	953	3658
62	966	3636
63	978	3609
64	991	3582
65	1003	3556
66	1015	3529
67	1026	3503
68	1037	3474
69	1048	3446
70	1059	3418
71	1070	3390
72	1081	3363
73	1092	3335
74	1103	3309
75	1114	3284
76	1125	3258
77	1135	3232
78	1146	3207
79	1157	3182
80	1167	3157
81	1180	3137
82	1191	3116
83	1204	3096
84	1214	3071
85	1225	3050
86	1238	3031
87	1250	3012
88	1264	2996
89	1279	2985
90	1293	2970
91	1306	2953
92	1319	2935
93	1331	2919
94	1346	2904
95	1358	2885
96	1371	2870
97	1384	2852
98	1394	2832
99	1405	2811
100	1416	2791
101	1429	2774
102	1441	2757
103	1452	2738
104	1463	2718
105	1474	2698
106	1485	2679
107	1496	2660
108	1508	2642
109	1519	2623
110	1529	2604
111	1540	2586
112	1551	2567
113	1562	2549
114	1572	2530
115	1583	2512
116	1594	2493
117	1606	2477
118	1617	2460
119	1629	2443
120	1639	2426
121	1651	2409
122	1664	2394
123	1677	2381
124	1691	2367
125	1704	2353
126	1717	2339
127	1730	2325
128	1743	2311
129	1757	2298
130	1771	2285
131	1787	2275
132	1808	2270
133	1822	2258
134	1840	2249
135	1855	2237
136	1869	2224
137	1883	2211
138	1899	2200
139	1914	2188
140	1929	2175
141	1945	2164
142	1961	2153
143	1976	2141
144	1990	2127
145	2003	2112
146	2014	2096
147	2026	2081
148	2038	2065
149	2049	2049
150	2060	2033
151	2072	2017
152	2083	2001
153	2094	1985
154	2106	1970
155	2117	1955
156	2129	1939
157	2140	1923
158	2151	1907
159	2162	1891
160	2172	1875
161	2185	1861
162	2197	1847
163	2210	1833
164	2221	1817
165	2232	1802
166	2243	1786
167	2254	1771
168	2265	1755
169	2276	1741
170	2287	1725
171	2299	1711
172	2312	1697
173	2325	1683
174	2339	1670
175	2351	1656
176	2365	1643
177	2378	1630
178	2390	1616
179	2404	1602
180	2417	1589
181	2431	1576
182	2448	1565
183	2461	1552
184	2475	1538
185	2490	1526
186	2503	1512
187	2516	1499
188	2530	1485
189	2543	1472
190	2557	1459
191	2568	1445
192	2581	1431
193	2594	1417
194	2607	1403
195	2618	1389
196	2629	1374
197	2642	1361
198	2653	1346
199	2665	1332
200	2676	1318
201	2689	1305
202	2702	1291
203	2715	1277
204	2727	1263
205	2739	1249
206	2750	1235
207	2761	1221
208	2772	1207
209	2782	1192
210	2794	1178
211	2805	1164
212	2815	1150
213	2826	1135
214	2837	1121
215	2847	1107
216	2857	1093
217	2868	1078
218	2878	1064
219	2888	1050
220	2900	1036
221	2910	1022
222	2921	1008
223	2931	994
224	2943	981
225	2955	967
226	2967	954
227	2979	940
228	2990	927
229	3002	913
230	3015	900
231	3027	887
232	3040	874
233	3053	861
234	3070	849
235	3085	836
236	3101	824
237	3117	812
238	3133	799
239	3149	787
240	3166	775
241	3180	762
242	3199	750
243	3215	737
244	3231	725
245	3248	713
246	3261	699
247	3274	686
248	3288	673
249	3302	660
250	3314	647
251	3327	633
252	3339	620
253	3351	606
254	3363	593
255	3375	580
256	3388	566
257	3399	553
258	3412	540
259	3424	526
260	3436	513
261	3448	500
262	3462	487
263	3476	474
264	3489	460
265	3501	447
266	3514	434
267	3525	421
268	3538	407
269	3550	394
270	3563	381
271	3575	368
272	3586	354
273	3598	341
274	3610	328
275	3622	315
276	3634	301
277	3648	288
278	3660	275
279	3672	262
280	3685	249
281	3697	236
282	3710	222
283	3723	209
284	3735	196
285	3747	183
286	3760	170
287	3772	157
288	3784	144
289	3797	130
290	3810	117
291	3823	104
292	3835	91
293	3849	78
294	3863	65
295	3876	52
296	3890	39
297	3903	26
298	3917	13
299	3931	0
